Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),P/E,P/B,Div Yield,Total Returns Index
04-Jul-2011,5679.55,5679.65,5633.1,5650.5,103528865,4266.62,20.83,3.5,1.25,7140.22
05-Jul-2011,5659.85,5659.85,5612.3,5632.1,100776400,4938.19,20.76,3.49,1.26,7116.93
06-Jul-2011,5622.7,5655.4,5610.75,5625.45,86109914,4239.98,20.74,3.49,1.26,7108.53
07-Jul-2011,5633.35,5737.15,5632.95,5728.95,112220298,5439.55,21.12,3.55,1.24,7239.36
08-Jul-2011,5734.65,5740.4,5651.05,5660.65,129276449,5659.53,20.87,3.51,1.25,7154.24
11-Jul-2011,5648.05,5652.9,5601.7,5616.1,78899703,3579.63,20.67,3.48,1.26,7097.91
12-Jul-2011,5556.9,5580.25,5496.95,5526.15,104907108,5294.13,20.29,3.43,1.28,6984.29
13-Jul-2011,5542.05,5596.15,5541.4,5585.45,106019573,4702.05,20.51,3.46,1.27,7059.25
14-Jul-2011,5569,5653.95,5541.7,5599.8,123015471,5390.44,20.55,3.47,1.27,7079.92
15-Jul-2011,5602.95,5631.7,5562.75,5581.1,80426784,3668.42,20.45,3.46,1.27,7056.84
18-Jul-2011,5581.75,5596.6,5550.95,5567.05,73604991,3305.34,20.4,3.45,1.27,7039.08
19-Jul-2011,5569.85,5627.65,5557.2,5613.55,86555649,3983.28,20.57,3.48,1.26,7100.23
20-Jul-2011,5642.05,5645.4,5555.1,5567.05,87093214,3825.45,20.34,3.45,1.27,7041.38
21-Jul-2011,5554.6,5578.9,5532.7,5541.6,76327640,3681.07,20.25,3.44,1.28,7009.19
22-Jul-2011,5576.95,5642.2,5567.1,5633.95,106781617,5040.43,20.57,3.5,1.26,7126.02
25-Jul-2011,5633.8,5700.55,5616.7,5680.3,142008190,5622.44,20.71,3.52,1.25,7184.65
26-Jul-2011,5688.45,5702.25,5560.15,5574.85,134108563,6270.33,20.22,3.46,1.27,7051.3
27-Jul-2011,5588.55,5591.7,5521.5,5546.8,122321153,5358.36,20.09,3.44,1.28,7016.02
28-Jul-2011,5492.4,5512.1,5475.65,5487.75,164522151,6883.18,19.86,3.4,1.29,6941.81
29-Jul-2011,5479,5520.3,5453.95,5482,156128914,5901.53,19.76,3.4,1.29,6934.57
01-Aug-2011,5527.5,5551.9,5486.45,5516.8,98962726,4048.98,19.81,3.42,1.28,6978.58
02-Aug-2011,5493.2,5496.3,5433.65,5456.55,110372244,4236.41,19.6,3.39,1.3,6903.07
03-Aug-2011,5402,5422.6,5378.85,5404.8,133223864,5339.25,19.42,3.33,1.27,6837.89
04-Aug-2011,5412.4,5434.5,5323.15,5331.8,118482440,4820.07,19.19,3.29,1.29,6745.54
05-Aug-2011,5204.35,5229.65,5116.45,5211.25,196016865,7543.44,18.76,3.21,1.32,6593.07
08-Aug-2011,5083.85,5204.2,5054.05,5118.5,188307028,7326.93,18.44,3.16,1.34,6476.05
09-Aug-2011,4947.9,5167,4946.45,5072.85,233869015,9385.01,18.24,3.13,1.35,6418.63
10-Aug-2011,5196.55,5197.95,5123.35,5161,158404456,6289.41,18.56,3.19,1.33,6531.35
11-Aug-2011,5128,5184.95,5121,5138.3,113043482,4723.01,18.47,3.17,1.34,6502.61
12-Aug-2011,5194.4,5194.45,5053.35,5072.95,128834807,5909.91,18.24,3.13,1.35,6419.9
16-Aug-2011,5125.75,5132.2,5015.4,5035.8,130896704,5081.61,18.11,3.11,1.36,6372.92
17-Aug-2011,5030.3,5112.15,5017.25,5056.6,143342008,5472.63,18.25,3.12,1.36,6403.06
18-Aug-2011,5077.95,5078.6,4932.15,4944.15,139816131,5686.22,17.85,2.92,1.53,6260.98
19-Aug-2011,4859.3,4893.6,4796.1,4845.65,166702431,7317.33,17.49,2.86,1.57,6136.28
22-Aug-2011,4843.7,4910.05,4808.75,4898.8,123813921,5186.04,17.68,2.89,1.55,6203.57
23-Aug-2011,4925.15,4965.8,4863.8,4948.9,130010440,5519.36,17.87,2.92,1.53,6267.03
24-Aug-2011,4934.35,4962.4,4875.3,4888.9,129410652,5241.5,17.65,2.89,1.55,6191.34
25-Aug-2011,4914.65,4915.85,4825.05,4839.6,184913414,7921.11,17.47,2.86,1.57,6130.05
26-Aug-2011,4839.25,4872,4720,4747.8,149717732,5850.84,17.14,2.8,1.6,6013.78
29-Aug-2011,4806.2,4934.4,4806.05,4919.6,145125304,5576.71,17.76,2.9,1.54,6231.38
30-Aug-2011,4973.25,5016.25,4927.55,5001,181539730,7051.77,18.05,2.95,1.52,6334.48
02-Sep-2011,5109.8,5113.7,4993.35,5040,195055967,7689.7,18.19,2.98,1.51,6384.31
05-Sep-2011,4998.9,5030.3,4964.45,5017.2,162898218,6359.59,18.11,2.96,1.51,6356.06
06-Sep-2011,4993.35,5072.9,4942.9,5064.3,183680006,7278,18.28,2.99,1.5,6416.74
07-Sep-2011,5080.15,5154.5,5076.3,5124.65,193856202,6883.16,18.5,3.03,1.48,6493.2
08-Sep-2011,5139.2,5169.25,5098.25,5153.25,140855342,6093.78,18.6,3.04,1.47,6529.77
09-Sep-2011,5161.3,5163.75,5046.8,5059.45,158713071,6482.27,18.26,2.99,1.5,6410.92
12-Sep-2011,4981.7,4985.6,4911.25,4946.8,135500219,5175.51,17.86,2.92,1.53,6268.36
13-Sep-2011,4977.8,5030.15,4911.05,4940.95,146005268,5305.87,17.84,2.92,1.54,6260.97
14-Sep-2011,4965.05,5026.15,4917.4,5012.55,154276761,6416.57,18.1,2.96,1.51,6352.32
15-Sep-2011,5062.35,5091.45,4967.45,5075.7,153648925,5935.88,18.33,3,1.49,6432.93
16-Sep-2011,5123.35,5143.6,5068.1,5084.25,225187238,8379.56,18.36,3,1.49,6443.78
19-Sep-2011,5068.4,5068.4,5019.25,5031.95,115737842,4042.27,18.17,2.97,1.51,6377.64
20-Sep-2011,5042.55,5149.9,5035.25,5140.2,146599496,5504.69,18.56,3.04,1.48,6514.86
21-Sep-2011,5153.75,5168.4,5109.85,5133.25,132918171,5142.01,18.54,3.03,1.48,6506.04
22-Sep-2011,5054.45,5059.85,4907.75,4923.65,147608376,5675.35,17.78,2.91,1.54,6240.39
23-Sep-2011,4873.75,4930.25,4829.6,4867.75,205769423,7364.65,17.58,2.87,1.56,6169.52
26-Sep-2011,4878.6,4879.8,4758.85,4835.4,156079487,5475.64,17.46,2.86,1.57,6128.56
27-Sep-2011,4905.15,4982.95,4905.15,4971.25,151313966,5284.66,17.95,2.94,1.53,6300.72
28-Sep-2011,5005.5,5006.05,4918.45,4945.9,166872414,6078.49,17.86,2.92,1.53,6268.57
29-Sep-2011,4924.2,5034.25,4906,5015.45,216156088,8284.97,18.11,2.96,1.51,6356.74
30-Sep-2011,4990.15,5025.55,4924.3,4943.25,201962105,6764.12,17.85,2.92,1.53,6265.26
03-Oct-2011,4874.4,4879.15,4823.9,4849.5,148921569,5230.17,17.51,2.86,1.56,6146.41
04-Oct-2011,4823.5,4869.75,4728.3,4772.15,184413296,6736.87,17.23,2.82,1.59,6048.39
05-Oct-2011,4791.3,4827.8,4741,4751.3,179140481,6385.35,17.16,2.81,1.6,6021.97
07-Oct-2011,4883.65,4922.6,4861.2,4888.05,198288782,6914.62,17.65,2.89,1.55,6195.25
10-Oct-2011,4886.85,4991.15,4882.05,4979.6,188839545,6247.21,18.03,2.99,1.51,6311.32
11-Oct-2011,5019.9,5045.1,4964,4974.35,182038763,6386.8,18.01,2.98,1.52,6304.63
12-Oct-2011,5011.2,5109.8,4997.65,5099.4,188008562,7528.09,18.43,3.06,1.48,6463.15
13-Oct-2011,5130.8,5136.95,5067.65,5077.85,157302816,6319.82,18.35,3.04,1.49,6435.81
14-Oct-2011,5057.35,5141.4,5056.6,5132.3,157781872,6140.27,18.55,3.08,1.47,6504.84
17-Oct-2011,5156.2,5160.2,5084.5,5118.25,130460983,5029.13,18.5,3.07,1.47,6487.02
18-Oct-2011,5049.45,5057.5,5011.05,5037.5,125550565,5148.86,18,3.02,1.5,6384.7
19-Oct-2011,5080.45,5148.05,5075.3,5139.15,117468754,4776.09,18.36,3.08,1.47,6513.51
20-Oct-2011,5086.55,5099,5033.95,5091.9,119333986,4582.47,18.14,3.05,1.48,6456.03
21-Oct-2011,5106.6,5120.75,5037.95,5049.95,109893599,4733.71,17.99,3.03,1.49,6403.32
24-Oct-2011,5114.7,5145.65,5084.75,5098.35,126073195,4927.43,18.1,3.06,1.48,6464.65
25-Oct-2011,5137.9,5211,5085.55,5191.6,221084588,9967.24,18.39,3.11,1.45,6583.4
26-Oct-2011,5214.95,5219.25,5196.15,5201.8,27496887,1059.46,18.43,3.12,1.45,6596.36
28-Oct-2011,5341.9,5399.7,5322.8,5360.7,246078412,9151.2,19.03,3.21,1.41,6797.88
31-Oct-2011,5358.9,5360.25,5314.6,5326.6,149483502,5937.99,18.9,3.19,1.42,6755.07
01-Nov-2011,5278.6,5310.85,5238.3,5257.95,152491922,5651.67,19.04,3.15,1.43,6668.03
02-Nov-2011,5216.75,5300.1,5204.95,5258.45,144375106,4918.34,19.04,3.15,1.43,6668.66
03-Nov-2011,5241.55,5281.6,5201.85,5265.75,160282802,5716.17,19.06,3.16,1.43,6677.9
04-Nov-2011,5325.4,5326.45,5256.8,5284.2,149015829,5401.13,19.21,3.17,1.43,6702.49
08-Nov-2011,5292.25,5304.25,5252,5289.35,120652007,4159.75,19.11,3.17,1.43,6708.99
09-Nov-2011,5309.7,5317.5,5211.75,5221.05,146428609,6720.83,18.78,3.13,1.44,6622.39
11-Nov-2011,5159.75,5198.6,5142.25,5168.85,168514208,6929.85,18.61,3.1,1.46,6556.16
14-Nov-2011,5217.35,5228.9,5140.55,5148.35,134448100,5263.81,18.59,3.09,1.47,6530.19
15-Nov-2011,5131.2,5158.75,5052.85,5068.5,149592578,5201.21,18.35,3.04,1.49,6428.89
16-Nov-2011,5059.1,5065.2,4989.5,5030.45,161406885,5757.81,18.21,3.02,1.5,6380.65
17-Nov-2011,5027.1,5036.8,4919.45,4934.75,149238976,5277.65,17.87,2.96,1.53,6259.25
18-Nov-2011,4899.15,4915.9,4837.95,4905.8,192274363,6481.17,17.76,2.94,1.54,6222.51
21-Nov-2011,4873.8,4873.8,4764.8,4778.35,154119333,5509.53,17.3,2.87,1.58,6060.84
22-Nov-2011,4794.85,4854,4782.55,4812.35,174212435,6275.86,17.42,2.89,1.57,6103.96
23-Nov-2011,4779.5,4779.5,4640.95,4706.45,178819371,6199.31,17.04,2.82,1.6,5969.67
24-Nov-2011,4707.55,4771.1,4639.1,4756.45,213363083,7327.52,17.22,2.85,1.59,6033.07
25-Nov-2011,4731.3,4767.3,4693.1,4710.05,162839558,5812.61,17.05,2.82,1.6,5974.21
28-Nov-2011,4769.3,4859.1,4766.4,4851.3,145259101,4869.41,17.56,2.91,1.55,6153.37
29-Nov-2011,4864.2,4866.1,4787.1,4805.1,155570321,5786.83,17.4,2.87,1.57,6094.79
30-Nov-2011,4766.15,4851.55,4754.8,4832.05,282217865,11393.19,17.49,2.89,1.56,6128.97
01-Dec-2011,4970.85,5011.9,4916.7,4936.85,183915785,6699.33,17.87,2.95,1.53,6261.88
02-Dec-2011,4940.85,5062.55,4918.4,5050.15,180190935,6527.43,18.28,3.01,1.49,6405.62
05-Dec-2011,5036.5,5055.4,5002.55,5039.15,137254409,4689.58,18.24,3.01,1.5,6391.63
07-Dec-2011,5050.1,5099.25,5032.25,5062.6,169428273,6005.21,18.33,3.02,1.49,6421.38
08-Dec-2011,5037.4,5049.05,4921.45,4943.65,178853365,6029.68,17.9,2.95,1.53,6270.52
09-Dec-2011,4870.75,4918.35,4841.75,4866.7,173612823,6040.22,17.62,2.9,1.55,6172.94
